community_id,num_investors,pct_GREEN_VC,pct_GVC,n_with_novelty,avg_novelty,median_novelty,std_novelty,pct_Q4,pct_Q1,n_deals,herfindahl,top_sector_1
7,1836,52.94117647058824,31.154684095860567,1839,0.426562751495378,0.4287,0.08059025242891671,25.774877650897228,22.72974442631865,4040,0.6106779972551711,Other
3,1637,51.496640195479536,28.466707391569944,1584,0.4243428661616162,0.4233,0.08158001146001036,25.37878787878788,24.242424242424242,2800,0.5368579081632653,Other
4,1617,65.36796536796537,49.35064935064935,1699,0.42338552089464393,0.4241,0.07937313287488622,23.602118893466745,24.249558563861097,3358,0.583186800050088,Other
19,1570,61.0828025477707,61.71974522292993,526,0.3987994296577947,0.3977,0.08466121267282702,17.870722433460077,35.551330798479086,1423,0.570501484249571,Other
1,1541,55.80791693705386,32.446463335496425,2041,0.42107756001959823,0.4231,0.0821329513730564,24.644781969622734,25.722684958353746,3693,0.4387901262104835,Other
5,1038,66.76300578034682,55.78034682080924,1139,0.4265078138718174,0.4287,0.08229927463954577,26.865671641791046,22.388059701492537,2017,0.5604938587204595,Other
6,1001,53.74625374625375,37.56243756243756,1330,0.42767699248120306,0.42755,0.08164221097882651,26.691729323308273,22.932330827067666,2729,0.5830218728822424,Other
10,924,55.086580086580085,42.857142857142854,514,0.4172490272373541,0.4194,0.08005224296740285,22.762645914396888,26.848249027237355,953,0.44260407020850934,Other
2,776,62.75773195876289,45.36082474226804,982,0.4253508146639512,0.42865,0.08330689315046604,26.680244399185337,24.236252545824847,2377,0.5864798839106151,Other
14,728,42.30769230769231,26.923076923076923,622,0.41905803858520896,0.4177,0.07856657052788406,21.70418006430868,25.241157556270092,1066,0.4892727279127316,Other
16,673,52.748885586924224,53.64041604754829,347,0.43440979827089343,0.433,0.08121948891428836,28.24207492795389,19.88472622478386,606,0.5230369571610626,Other
11,517,53.38491295938105,41.3926499032882,556,0.4121723021582734,0.40685,0.0781509321100145,18.884892086330936,28.9568345323741,1025,0.5179459845330161,Other
8,443,45.82392776523702,34.988713318284425,559,0.4317502683363149,0.435,0.08171055658889817,27.191413237924866,22.361359570661897,960,0.5756445312499999,Other
15,392,68.87755102040816,40.05102040816326,433,0.42139053117782915,0.421,0.08400698298229221,24.71131639722864,25.86605080831409,652,0.5496066844819151,Other
18,389,63.75321336760925,51.9280205655527,361,0.4242282548476454,0.4259,0.08263583984657231,23.822714681440445,21.329639889196674,585,0.4920710059171596,Other
24,358,53.072625698324025,39.94413407821229,261,0.42429923371647504,0.4235,0.08113123231931312,25.287356321839084,22.60536398467433,381,0.5053630107260216,Other
13,325,56.61538461538461,53.230769230769226,344,0.42874040697674415,0.43179999999999996,0.07767099980236823,25.290697674418606,23.25581395348837,597,0.601424206459433,Other
12,307,58.95765472312704,37.13355048859935,294,0.4307115646258503,0.4326,0.07847810303119639,26.87074829931973,19.047619047619047,544,0.4340600670415225,Other
21,239,48.53556485355649,39.74895397489539,206,0.4160815533980583,0.42005000000000003,0.07798119980995771,21.844660194174757,25.728155339805824,289,0.5227787023622801,Other
9,232,49.56896551724138,28.01724137931034,258,0.41725503875968994,0.42110000000000003,0.08957049881270417,22.48062015503876,25.968992248062015,403,0.5303585392435148,Other
23,232,53.879310344827594,36.637931034482754,201,0.42459950248756223,0.4319,0.07566419560971305,21.393034825870647,21.393034825870647,310,0.49608740894901127,Other
17,191,59.16230366492147,42.93193717277487,191,0.412413612565445,0.4178,0.08112261047255141,19.3717277486911,27.748691099476442,302,0.5780667514582694,Other
26,181,65.19337016574586,54.14364640883977,108,0.42763518518518523,0.43179999999999996,0.07978110134845919,21.296296296296298,20.37037037037037,182,0.6104939017026928,Other
0,135,61.48148148148148,56.2962962962963,707,0.42801202263083454,0.4275,0.08407686999181417,26.449787835926447,21.4992927864215,1678,0.6892343032811921,Other
27,84,59.523809523809526,50.0,45,0.3976555555555556,0.3936,0.08929223322092603,13.333333333333334,40.0,61,0.45821015855952707,Other
25,82,64.63414634146342,51.21951219512195,111,0.41442702702702705,0.4193,0.0816579218843876,22.52252252252252,25.225225225225223,150,0.6296,Other
29,61,40.98360655737705,32.78688524590164,24,0.427325,0.42895,0.0582710780891058,20.833333333333336,12.5,37,0.6055514974433893,Other
30,49,65.3061224489796,46.93877551020408,23,0.4007652173913044,0.405,0.07559372879841551,8.695652173913043,26.08695652173913,38,0.4792243767313019,Other
35,27,77.77777777777779,66.66666666666666,5,0.45076,0.4608,0.03161876657935916,0.0,0.0,8,0.59375,Other
20,26,76.92307692307693,73.07692307692307,44,0.45262727272727266,0.4434,0.08300687913342528,38.63636363636363,13.636363636363635,52,0.5473372781065089,Other
