community,n_investors,pct_green,pct_esg,pct_traditional,dominant_type,community_label,n_companies,avg_deal_size_M,exit_rate_pct,failure_rate_pct
7,1836,52.94117647058824,2.287581699346405,44.771241830065364,OTHER,Mixed,2048,57.95246112423759,7.6450892857142865,5.301339285714286
3,1637,51.496640195479536,2.810018326206475,45.69334147831399,OTHER,Mixed,1696,26.79237760143734,5.689993459777633,6.540222367560497
4,1617,65.36796536796537,1.7934446505875077,32.83858998144712,GVC,Pure Green,1850,16.105970827355332,6.513647642679901,7.94044665012407
19,1570,61.0828025477707,0.445859872611465,38.47133757961784,GVC,Pure Green,578,159.74317842605157,10.08230452674897,1.440329218106996
1,1541,55.80791693705386,1.881894873458793,42.31018818948735,OTHER,Mixed,2208,35.46157135139307,6.559083810515356,7.912545549193128
5,1038,66.76300578034682,1.7341040462427744,31.502890173410403,GVC,Pure Green,1249,43.875418472063856,7.323943661971831,7.605633802816901
6,1001,53.74625374625375,2.097902097902098,44.15584415584416,GVC,Mixed,1463,16.27308734939759,4.410585404971933,5.854049719326383
10,924,55.086580086580085,1.2987012987012987,43.61471861471862,GVC,Mixed,551,22.70869959362301,4.0,3.578947368421052
2,776,62.75773195876289,1.0309278350515463,36.21134020618557,GVC,Pure Green,1074,8.953927339151612,3.6637931034482754,7.650862068965517
14,728,42.30769230769231,3.296703296703297,54.395604395604394,IVC,Mixed,672,85.15864385883805,8.5,5.5
16,673,52.748885586924224,0.5943536404160475,46.65676077265973,GVC,Mixed,386,45.477441314553985,6.176470588235294,2.3529411764705883
11,517,53.38491295938105,1.9342359767891684,44.680851063829785,GVC,Mixed,605,26.896648760330578,6.5009560229445515,7.45697896749522
8,443,45.82392776523702,0.6772009029345373,53.49887133182845,OTHER,Mixed,601,22.146507936507938,5.631067961165048,5.825242718446602
15,392,68.87755102040816,1.0204081632653061,30.102040816326532,GVC,Pure Green,476,14.071907801418439,7.487922705314009,4.830917874396135
18,389,63.75321336760925,1.2853470437017995,34.96143958868895,GVC,Pure Green,386,9.322284069097888,5.830903790087463,8.454810495626822
24,358,53.072625698324025,1.675977653631285,45.2513966480447,GVC,Mixed,288,12.015390288875233,7.003891050583658,10.116731517509727
13,325,56.61538461538461,1.2307692307692308,42.15384615384615,GVC,Mixed,395,178.27290014333494,9.60960960960961,6.906906906906906
12,307,58.95765472312704,1.3029315960912053,39.73941368078176,GVC,Mixed,349,9.981028806584362,6.741573033707865,11.985018726591761
21,239,48.53556485355649,1.2552301255230125,50.2092050209205,GVC,Mixed,224,26.53258209916291,10.396039603960396,5.9405940594059405
9,232,49.56896551724138,0.43103448275862066,50.0,OTHER,Mixed,285,54.33871448863636,7.5,7.083333333333333
23,232,53.879310344827594,2.586206896551724,43.53448275862069,GVC,Mixed,223,55.38179556153329,8.205128205128204,9.230769230769232
17,191,59.16230366492147,2.6178010471204187,38.21989528795812,GVC,Mixed,207,32.734389261744965,6.8181818181818175,6.8181818181818175
26,181,65.19337016574586,0.0,34.806629834254146,GVC,Pure Green,122,13.711909650924024,10.204081632653061,5.1020408163265305
0,135,61.48148148148148,0.7407407407407408,37.77777777777778,GVC,Pure Green,803,3.7141661987647385,4.484304932735426,6.278026905829597
27,84,59.523809523809526,0.0,40.476190476190474,GVC,Mixed,46,9.766596385542169,2.272727272727273,11.363636363636363
25,82,64.63414634146342,0.0,35.36585365853659,GVC,Pure Green,115,14.5162829736211,5.660377358490567,8.49056603773585
29,61,40.98360655737705,0.0,59.01639344262295,OTHER,Mixed,31,40.608858267716535,8.333333333333332,16.666666666666664
30,49,65.3061224489796,0.0,34.69387755102041,GVC,Pure Green,25,13.520999999999999,4.3478260869565215,0.0
35,27,77.77777777777779,0.0,22.22222222222222,GVC,Pure Green,6,29.560810810810818,0.0,0.0
20,26,76.92307692307693,0.0,23.076923076923077,GVC,Pure Green,47,2.3221428571428575,2.380952380952381,16.666666666666664
38,19,78.94736842105263,0.0,21.052631578947366,GVC,Pure Green,2,1.5685714285714285,0.0,0.0
28,18,27.77777777777778,0.0,72.22222222222221,IVC,Pure Trad,9,3.923142857142857,28.57142857142857,0.0
34,14,78.57142857142857,0.0,21.428571428571427,GVC,Pure Green,3,25.364444444444445,100.0,0.0
32,14,42.857142857142854,0.0,57.14285714285714,GVC,Mixed,8,235.11357142857142,28.57142857142857,14.285714285714285
33,13,53.84615384615385,0.0,46.15384615384615,GVC,Mixed,6,1.05,0.0,0.0
43,12,91.66666666666666,0.0,8.333333333333332,GVC,Pure Green,1,7.640000000000001,,
41,11,63.63636363636363,0.0,36.36363636363637,GVC,Pure Green,3,2.4880000000000004,0.0,0.0
44,11,45.45454545454545,0.0,54.54545454545454,OTHER,Mixed,1,2.168461538461538,0.0,0.0
36,10,80.0,0.0,20.0,GVC,Pure Green,5,2.0985714285714288,0.0,0.0
39,10,90.0,0.0,10.0,GVC,Pure Green,2,15.69666666666667,0.0,0.0
42,10,70.0,0.0,30.0,GVC,Pure Green,1,0.4,0.0,0.0
22,9,66.66666666666666,0.0,33.33333333333333,GVC,Pure Green,2,0.7754545454545455,,
31,9,77.77777777777779,0.0,22.22222222222222,GVC,Pure Green,1,1.4700000000000002,0.0,0.0
40,7,71.42857142857143,0.0,28.57142857142857,GVC,Pure Green,2,,0.0,0.0
37,7,71.42857142857143,0.0,28.57142857142857,GVC,Pure Green,18,0.18000000000000002,0.0,0.0
45,5,20.0,0.0,80.0,OTHER,Pure Trad,2,6.825714285714286,0.0,0.0
