,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-3.69683752872349,0.5170523632311669,-7.149831993071629,8.688417240797254e-13,-4.710241538777899,-2.6834335186690805
Pure_Green,0.38485352224929775,0.5507531697252306,0.6987767722540758,0.48469154675388015,-0.69460285478343,1.4643098992820254
Pure_Non_Green,0.6377251491017394,0.5767863746172252,1.1056522434756806,0.2688770679110649,-0.4927553719214496,1.7682056701249285
post_trump_election_2016,1.274217374555481,0.5331692177095607,2.389892987501015,0.016853282593589664,0.22922491017934687,2.319209838931615
post_biden_inauguration,-0.3373285423875762,0.22448587496963096,-1.502671570909354,0.1329237572336117,-0.7773127723660145,0.10265568759086208
post_trump_election_2024,0.21871664567083537,0.3032273042961591,0.721296013162512,0.4707274093939562,-0.375597949878804,0.8130312412204748
post_trump_election_2016:Pure_Green,-0.7453079858524536,0.5755718178036422,-1.2949000677213791,0.19535470514349773,-1.8734080192638423,0.38279204755893503
post_trump_election_2016:Pure_Non_Green,-0.677439704371677,0.6054945172654168,-1.1188205426387423,0.26321670603552527,-1.8641871510483599,0.509307742305006
post_biden_inauguration:Pure_Green,0.3844740401156578,0.23504295636956096,1.6357607394588096,0.10188967178936689,-0.07620168918850101,0.8451497694198166
post_biden_inauguration:Pure_Non_Green,0.4207340346203593,0.25918550158553416,1.6232930933504097,0.10452676528077982,-0.0872602138022367,0.9287282830429553
post_trump_election_2024:Pure_Green,-0.450709867695225,0.3532471289527398,-1.2759052537282602,0.201989013673471,-1.1430615180847712,0.24164178269432118
post_trump_election_2024:Pure_Non_Green,-0.3094085407432034,0.38265790294161567,-0.8085774221953327,0.41875825593807137,-1.0594042489083937,0.44058716742198695
company_age_z,0.14596607229539982,0.04294498232064931,3.398908659585469,0.000676553068000486,0.06179545363021781,0.2301366909605818
oil_price_z,-0.18110554345074445,0.05764034564808738,-3.141992668754128,0.001678022374189053,-0.29407854497743574,-0.06813254192405314
interest_rate_z,-0.4160725899207564,0.054518943120053155,-7.631706818023709,2.316658135797773e-14,-0.5229277549112483,-0.30921742493026444
vix_z,-0.12175785372506814,0.04109293509128261,-2.962987517309214,0.0030466892402018974,-0.2022985265230242,-0.041217180927112074
